,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
BALANCE,8950.0,0.0,14002049.707719,1564.4748276781038,873.385231,2081.531879456554,4332774.965193936,0.0,0.06510059000000001,8.81451835,23.575528800000004,128.2819155,873.385231,2054.1400355,4338.5636566,5909.111807849997,9338.804814000001,19043.13856
BALANCE_FREQUENCY,8950.0,0.0,7851.572994,0.8772707255865991,1.0,0.23690400268475698,0.05612350648805934,0.0,0.090909,0.272727,0.454545,0.8888889999999999,1.0,1.0,1.0,1.0,1.0,1.0
PURCHASES,8950.0,0.0,8978683.26,1003.2048335195564,361.28,2136.6347818728423,4565208.191108808,0.0,0.0,0.0,0.0,39.635,361.28,1110.13,2542.6240000000003,3998.619499999998,8977.290000000014,49039.57
ONEOFF_PURCHASES,8950.0,0.0,5302314.470000001,592.437370949722,38.0,1659.887917437827,2755227.898456086,0.0,0.0,0.0,0.0,0.0,38.0,577.4050000000001,1600.0990000000004,2671.0939999999937,6689.898200000005,40761.25
INSTALLMENTS_PURCHASES,8950.0,0.0,3679055.42,411.06764469273713,89.0,904.3381151753365,817827.4265588801,0.0,0.0,0.0,0.0,0.0,89.0,468.63749999999993,1140.0700000000002,1750.087499999995,3886.2405000000003,22500.0
CASH_ADVANCE,8950.0,0.0,8760896.456566,978.8711124654749,0.0,2097.163876643147,4398096.325496912,0.0,0.0,0.0,0.0,0.0,0.0,1113.8211392499998,3065.534560000004,4647.16912199999,9588.163356800003,47137.211760000006
PURCHASES_FREQUENCY,8950.0,0.0,4388.637408,0.4903505483798885,0.5,0.40137074736905376,0.1610984768435928,0.0,0.0,0.0,0.0,0.083333,0.5,0.916667,1.0,1.0,1.0,1.0
ONEOFF_PURCHASES_FREQUENCY,8950.0,0.0,1811.9962679999999,0.20245768357542138,0.083333,0.2983360651847212,0.08900440778990222,0.0,0.0,0.0,0.0,0.0,0.083333,0.3,0.75,1.0,1.0,1.0
PURCHASES_INSTALLMENTS_FREQUENCY,8950.0,0.0,3261.714207,0.3644373415642452,0.166667,0.39744777974542483,0.15796473762456772,0.0,0.0,0.0,0.0,0.0,0.166667,0.75,1.0,1.0,1.0,1.0
CASH_ADVANCE_FREQUENCY,8950.0,0.0,1209.5405930000002,0.1351442003351972,0.0,0.20012138814749122,0.04004856999407884,0.0,0.0,0.0,0.0,0.0,0.0,0.22222199999999998,0.416667,0.583333,0.833333,1.5
CASH_ADVANCE_TRX,8950.0,0.0,29077.0,3.2488268156424582,0.0,6.824646744165706,46.575803182651576,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,15.0,29.0,123.0
PURCHASES_TRX,8950.0,0.0,131653.0,14.709832402234637,7.0,24.85764910988557,617.902719270195,0.0,0.0,0.0,0.0,1.0,7.0,17.0,37.0,57.0,116.51000000000022,358.0
CREDIT_LIMIT,8949.0,1.0,40220828.131312996,4494.449450364621,3000.0,3638.8157254985426,13240979.884135485,50.0,500.0,1000.0,1200.0,1600.0,3000.0,6500.0,9500.0,12000.0,17000.0,30000.0
PAYMENTS,8950.0,0.0,15511637.475621998,1733.1438520248041,856.901546,2895.063756904579,8381394.156542456,0.0,0.0,89.98892395000001,179.617069,383.276166,856.901546,1901.13431675,3923.906642400001,6082.090595249998,13608.715540600018,50721.483360000006
MINIMUM_PAYMENTS,8637.0,313.0,7464151.905889001,864.2065423050814,312.343947,2372.446606583975,5628502.90109182,0.019163,19.524477519999998,73.28200580000001,106.03486360000001,169.123707,312.343947,825.485459,1780.6517440000007,2766.5633099999995,9034.09873695978,76406.20752000001
PRC_FULL_PAYMENT,8950.0,0.0,1375.746104,0.1537146484916212,0.0,0.29249919623387977,0.08555577979746569,0.0,0.0,0.0,0.0,0.0,0.0,0.14285699999999998,0.6700003000000121,1.0,1.0,1.0
TENURE,8950.0,0.0,103080.0,11.51731843575419,12.0,1.3383307693673308,1.7911292482353516,6.0,6.0,8.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
