,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
BALANCE,8950,0,13792368.0255181,1541.0467067618,873.385231,1966.59748380462,3867505.66330666,0.06510059,0.0652482809,8.81451835,23.5755288,128.2819155,873.385231,2054.1400355,4338.5636566,5909.11180785,9337.09439844,9338.804814
BALANCE_FREQUENCY,8950,0,7858.845714,0.878083320000004,1,0.234031700003006,0.054770836606297,0.090909,0.090909,0.272727,0.454545,0.888889,1,1,1,1,1,1
PURCHASES,8950,0,8379251.67,936.22923687151,361.28,1525.18517860666,2326189.82904144,0,0,0,0,39.635,361.28,1110.13,2542.624,3998.6195,8961.79620000001,8977.29000000001
ONEOFF_PURCHASES,8950,0,4801619.278,536.493774078214,38,1096.91351176325,1203219.2522888,0,0,0,0,0,38,577.405,1600.099,2671.09399999999,6684.195482,6689.89820000001
INSTALLMENTS_PURCHASES,8950,0,3441260.395,384.498368156424,89,676.271067942116,457342.55733557,0,0,0,0,0,89,468.6375,1140.07,1750.0875,3885.853155,3886.2405
CASH_ADVANCE,8950,0,8376492.700901,935.920972167708,0,1775.77414698567,3153373.82110268,0,0,0,0,0,0,1113.82113925,3065.53456,4647.16912199999,9584.005150748,9588.1633568
PURCHASES_FREQUENCY,8950,0,4388.637408,0.490350548379888,0.5,0.401370747369054,0.161098476843593,0,0,0,0,0.083333,0.5,0.916667,1,1,1,1
ONEOFF_PURCHASES_FREQUENCY,8950,0,1811.996268,0.202457683575421,0.083333,0.298336065184721,0.089004407789902,0,0,0,0,0,0.083333,0.3,0.75,1,1,1
PURCHASES_INSTALLMENTS_FREQUENCY,8950,0,3261.714207,0.364437341564245,0.166667,0.397447779745425,0.157964737624568,0,0,0,0,0,0.166667,0.75,1,1,1,1
CASH_ADVANCE_FREQUENCY,8950,0,1199.449359,0.134016688156426,0,0.195549929471116,0.038239774916158,0,0,0,0,0,0,0.222222,0.416667,0.583333,0.833333,0.833333
CASH_ADVANCE_TRX,8950,0,27560,3.07932960893855,0,5.52372422649726,30.5115293303928,0,0,0,0,0,0,4,10,15,29,29
PURCHASES_TRX,8950,0,126654.9,14.1513854748603,7,20.9621587999776,439.412101555477,0,0,0,0,1,7,17,37,57,116.2601,116.51
CREDIT_LIMIT,8950,0,40044578.131313,4474.25453981151,3000,3551.09974627855,12610309.4080196,500,500,1000,1200,1600,3000,6500,9500,12000,17000,17000
PAYMENTS,8950,0,14762312.257586,1649.42036397609,856.901546,2251.66876859044,5070012.2434456,0,0,89.98892395,179.617069,383.276166,856.901546,1901.13431675,3923.9066424,6082.09059525,13586.255763106,13608.7155406
MINIMUM_PAYMENTS,8950,0,6689287.9183655,747.406471325749,312.343947,1232.74821833215,1519668.16980109,20.04061276,20.1150889576,74.6441173,109.1313278,170.85765425,312.343947,788.71350075,1731.6899772,2719.5669348,8617.79381185591,8626.69154109001
PRC_FULL_PAYMENT,8950,0,1375.746104,0.153714648491621,0,0.29249919623388,0.085555779797466,0,0,0,0,0,0,0.142857,0.670000300000012,1,1,1
TENURE,8950,0,103080,11.5173184357542,12,1.33833076936733,1.79112924823535,6,6,8,10,12,12,12,12,12,12,12
